Origin,Destination,Carrier,WeatherCondition,DistanceKM,ExpectedDeliveryDays,Holiday,CustomsClearanceTime,HandlingTimeWarehouse,Delay
Chennai,Hyderabad,BlueDart,Storm,162,7,1,1.5295027080751775,1.6848296948040056,1
Delhi,Ahmedabad,FedEx,Sunny,1492,3,0,1.0735486450444733,1.8352418490337539,1
Kolkata,Ahmedabad,BlueDart,Cloudy,1371,9,1,0.9763460817716285,0.6247939905674754,1
Mumbai,Lucknow,DTDC,Cloudy,60,5,1,1.0350146747679556,1.5740030642304719,0
Chennai,Ahmedabad,FedEx,Rainy,787,7,1,0.9031472835167078,0.10818097376858943,0
Chennai,Jaipur,Delhivery,Fog,1771,2,0,1.9124183202073777,1.6388873992452542,1
Mumbai,Ahmedabad,BlueDart,Sunny,820,4,1,1.4260925877409931,0.45878919890371406,0
Delhi,Pune,DTDC,Rainy,898,5,1,2.3194329812743786,1.4117637135794527,1
Kolkata,Pune,UPS,Sunny,853,7,0,3.2470449934951806,0.5671636153096113,1
Kolkata,Ahmedabad,BlueDart,Storm,1940,2,0,0.8618561553611284,0.4522130183247227,1
Chennai,Jaipur,DTDC,Cloudy,614,3,1,3.195096141588592,1.6251691500478946,1
Bengaluru,Hyderabad,FedEx,Cloudy,281,4,0,3.314534614742247,0.8638908164984317,1
Delhi,Lucknow,Delhivery,Rainy,1701,7,0,0.3158854766618997,0.40768898347429927,0
Bengaluru,Ahmedabad,DTDC,Storm,363,3,0,3.0082904961721426,1.7119234327160537,1
Kolkata,Pune,Delhivery,Rainy,148,8,1,1.2091407548372723,1.2759411242296992,0
Chennai,Ahmedabad,FedEx,Sunny,287,8,0,2.60363738696315,0.9383232221130603,1
Kolkata,Pune,UPS,Sunny,1078,9,1,2.9076696147333934,1.5237704372281113,1
Bengaluru,Hyderabad,DTDC,Sunny,1974,3,0,1.867413843567216,1.2070242636976214,1
Chennai,Lucknow,Delhivery,Fog,1584,9,1,1.014192676482255,1.4993941136335873,1
Mumbai,Ahmedabad,Delhivery,Rainy,1603,3,0,3.370066742575148,1.4714890312438655,1
Bengaluru,Lucknow,UPS,Sunny,1969,5,0,2.306137724656912,1.0004722015123482,1
Delhi,Lucknow,Delhivery,Sunny,1214,5,1,1.137369324737501,1.5968064162138582,1
Kolkata,Ahmedabad,Delhivery,Storm,1960,5,1,1.1943571802866306,1.5633669157219248,1
Mumbai,Hyderabad,Delhivery,Storm,623,7,1,0.2806877749106491,0.5182999931893694,1
Kolkata,Lucknow,FedEx,Cloudy,1148,6,0,0.3821928571363355,0.7617241785767668,0
Kolkata,Lucknow,FedEx,Sunny,1690,5,0,0.3679064239985483,1.5244409269848098,1
Kolkata,Jaipur,Delhivery,Rainy,1739,3,1,3.1228270638325974,0.5102571018194054,1
Chennai,Jaipur,DTDC,Storm,1608,3,1,0.2897010405420306,1.9211790585533595,1
Mumbai,Jaipur,FedEx,Sunny,1289,4,1,1.9543226316949498,1.0046542600717796,1
Delhi,Jaipur,BlueDart,Storm,655,3,0,2.878782825023575,0.7641708617588643,1
Kolkata,Lucknow,DTDC,Sunny,325,4,1,3.1795458691799356,1.8516052623484809,1
Kolkata,Hyderabad,UPS,Sunny,617,3,0,0.5963650793345683,0.23547861495120626,0
Delhi,Pune,UPS,Sunny,194,2,0,2.9299401654494304,1.202456411811592,1
Delhi,Ahmedabad,BlueDart,Storm,848,9,0,1.9230128065803977,1.4542244181464694,1
Bengaluru,Jaipur,DTDC,Storm,724,3,0,0.7600565468252503,1.6134862866251136,1
Bengaluru,Hyderabad,DTDC,Sunny,1522,3,1,1.2896642754725134,1.4034947520612104,1
Kolkata,Ahmedabad,UPS,Fog,201,9,1,1.215296039050799,0.5115824919496811,1
Chennai,Ahmedabad,FedEx,Fog,267,4,1,1.156452575703322,1.1531426128802131,1
Chennai,Hyderabad,FedEx,Rainy,1240,3,1,0.6457633143178294,1.4177268922147672,1
Bengaluru,Ahmedabad,DTDC,Storm,1238,2,1,1.549815935750908,0.26475181892207833,1
Chennai,Lucknow,Delhivery,Cloudy,909,8,1,0.9823048540493886,1.6765248292373318,1
Chennai,Jaipur,BlueDart,Storm,1923,5,1,2.2450739849528127,1.863144155515066,1
Chennai,Lucknow,DTDC,Fog,1080,7,1,2.633799953082495,0.2365156374238452,1
Chennai,Jaipur,FedEx,Rainy,1053,9,0,1.745457764491292,1.928179978215934,1
Chennai,Jaipur,DTDC,Rainy,402,5,0,0.5141188765120146,0.10107944559199446,0
Bengaluru,Jaipur,Delhivery,Storm,1100,7,1,2.080943581860309,0.3931379382856044,1
Delhi,Pune,UPS,Fog,376,5,1,1.2765865951413873,1.3189665193322693,1
Mumbai,Jaipur,Delhivery,Storm,348,3,0,1.8506918427340617,1.5365769806544205,1
Kolkata,Jaipur,UPS,Cloudy,1997,8,0,1.146744964759401,0.5758228647905876,1
Bengaluru,Hyderabad,FedEx,Rainy,1514,9,0,1.9383516634956153,1.3141516995028801,1
Kolkata,Ahmedabad,UPS,Rainy,1869,4,0,1.9441877055100945,1.6823904038568733,1
Mumbai,Hyderabad,UPS,Rainy,521,9,0,3.190152475525099,1.6170518551733095,1
Kolkata,Lucknow,Delhivery,Sunny,675,7,1,2.05056533605464,1.0604553567784272,1
Chennai,Ahmedabad,DTDC,Rainy,1373,7,1,1.2912340899229633,0.34172932759447316,1
Mumbai,Jaipur,BlueDart,Rainy,1708,9,0,0.9519636956243516,1.542748090042536,1
Kolkata,Jaipur,BlueDart,Sunny,1953,4,0,2.364380441243374,0.6225589771974803,1
Delhi,Ahmedabad,BlueDart,Sunny,157,9,1,0.27168740382349577,1.7127050149585685,0
Delhi,Pune,DTDC,Storm,496,5,1,0.43693056978815137,1.6252292754032098,1
Chennai,Ahmedabad,UPS,Sunny,71,6,0,3.18288382302508,1.1440378643201106,1
Bengaluru,Pune,UPS,Cloudy,1626,7,0,2.1781084683137864,1.910981921833799,1
Bengaluru,Lucknow,DTDC,Rainy,635,9,0,1.386898769099816,0.526390196081904,0
Bengaluru,Pune,BlueDart,Cloudy,989,7,0,1.6492890935795843,1.32361786275475,1
Delhi,Hyderabad,FedEx,Storm,1564,6,1,2.54862920903398,0.29531562267502387,1
Kolkata,Jaipur,FedEx,Storm,1404,3,0,0.9378480588909548,0.9642993632920137,1
Delhi,Pune,DTDC,Sunny,394,3,1,3.254766006831191,0.48256180620015887,1
Bengaluru,Lucknow,DTDC,Sunny,642,9,1,0.23977114795255317,1.5497366638758214,0
Kolkata,Ahmedabad,UPS,Sunny,1816,3,1,2.01606756880221,0.24849666578223772,1
Delhi,Lucknow,BlueDart,Storm,1879,6,0,2.08707852251966,0.39180158026361755,1
Chennai,Ahmedabad,FedEx,Storm,196,7,1,3.001628794662018,0.9976904873725275,1
Bengaluru,Jaipur,DTDC,Cloudy,1859,9,0,1.4176622258911382,0.43213403384270965,1
Bengaluru,Hyderabad,Delhivery,Storm,954,6,1,2.6226829410110297,0.5089631215403846,1
Kolkata,Lucknow,FedEx,Cloudy,439,8,1,2.2415800193898483,1.8606739273544357,1
Mumbai,Pune,Delhivery,Sunny,1401,7,1,0.6969743479019115,0.26796435233128135,0
Bengaluru,Ahmedabad,UPS,Cloudy,654,2,0,2.687443242825054,0.6417325607888587,1
Chennai,Jaipur,Delhivery,Sunny,1699,7,1,2.9810154970613576,0.948140035073048,1
Kolkata,Lucknow,Delhivery,Storm,419,2,0,1.8145751297416326,0.3691140391485195,1
Kolkata,Hyderabad,BlueDart,Sunny,1390,3,0,1.1457594242155837,0.36559642189274943,0
Mumbai,Jaipur,FedEx,Rainy,1106,6,0,0.30574384494798473,1.2673336024168531,0
Mumbai,Hyderabad,Delhivery,Cloudy,1320,8,0,0.2454652724703661,0.5717590709820563,0
Mumbai,Jaipur,Delhivery,Cloudy,1541,8,0,1.9504558926901603,1.2276796256401652,1
Mumbai,Pune,BlueDart,Storm,1054,8,0,1.59022442135474,0.2905460571409755,1
Delhi,Ahmedabad,UPS,Fog,683,2,1,2.7206854220515817,0.6411344184347898,1
Bengaluru,Ahmedabad,FedEx,Rainy,1283,4,1,3.43731587746745,0.18045761659753912,1
Mumbai,Jaipur,UPS,Rainy,1095,3,1,3.459236577596324,0.13083786705069575,1
Mumbai,Pune,DTDC,Sunny,1693,6,0,1.7833350590920058,1.958286916997162,1
Mumbai,Jaipur,BlueDart,Sunny,454,2,1,1.0771710638077168,1.0577214224726468,0
Kolkata,Pune,BlueDart,Rainy,876,2,1,1.8579628789820966,1.945156788424423,1
Kolkata,Hyderabad,UPS,Rainy,1465,8,0,1.1223083327816257,1.7254031904939753,1
Chennai,Lucknow,Delhivery,Cloudy,1084,9,1,0.8153948726943507,0.6726612097683528,0
Delhi,Pune,DTDC,Cloudy,1147,3,1,0.7983608139273128,1.3821442295711523,1
Bengaluru,Hyderabad,Delhivery,Rainy,742,5,0,2.565280775539911,0.9863675999628517,1
Bengaluru,Hyderabad,BlueDart,Fog,158,6,0,3.1703012178741528,0.7510355624639171,1
Mumbai,Ahmedabad,BlueDart,Rainy,1014,6,0,0.9869392642619503,1.519510658106081,0
Mumbai,Pune,Delhivery,Fog,1817,9,0,2.544185333675337,1.4558145588240932,1
Bengaluru,Ahmedabad,UPS,Rainy,715,6,0,1.9132518752172607,1.1131746386802457,1
Bengaluru,Pune,DTDC,Storm,727,2,0,1.0730951168101635,0.17516439594136446,1
Kolkata,Lucknow,BlueDart,Storm,518,4,0,0.3082729983425046,0.6307741431680853,0
Mumbai,Pune,UPS,Cloudy,865,5,1,1.2821488156513232,0.27048942770837736,0
Mumbai,Ahmedabad,BlueDart,Cloudy,444,4,1,3.469672226318703,1.8641997326089252,1
Delhi,Jaipur,FedEx,Rainy,1869,4,0,2.7236970701777405,1.7041174794066447,1
Bengaluru,Jaipur,UPS,Sunny,896,2,1,2.8611158050263996,0.6860732827457252,1
Delhi,Lucknow,DTDC,Sunny,1857,9,0,0.5077939875702799,1.346836331399501,1
Bengaluru,Pune,BlueDart,Storm,1551,7,1,2.1879538352017773,1.7280347446414839,1
Mumbai,Pune,FedEx,Cloudy,1958,5,1,1.6791130889848482,0.6039055666138753,1
Delhi,Lucknow,Delhivery,Fog,878,2,1,1.092125202741209,1.7981119445609168,1
Kolkata,Jaipur,FedEx,Cloudy,1493,6,0,1.049328633081982,1.0550907171125272,1
Chennai,Pune,BlueDart,Storm,736,6,1,1.5642472064865331,1.6654334859965132,1
Kolkata,Hyderabad,FedEx,Fog,64,8,0,2.965850630940004,0.3699974591181211,1
Kolkata,Lucknow,DTDC,Rainy,381,3,1,2.1277350923048766,0.6005536972781209,1
Delhi,Lucknow,UPS,Sunny,738,6,0,0.3942001731970249,1.235926463091787,0
Bengaluru,Pune,UPS,Sunny,181,6,1,1.053238687890842,1.3595564579201496,0
